,course_name,course_url,course_photo,course_level,course_effort,course_length,course_language,course_subtitle,course_price,course_partner,university_link,course_enrollments
295,AP® Physics 2 - Part 1:Fluids andThermodynamics…,https://www.edx.org/course/ap-physics-2-part-1-fluids-and-thermodynamics,https://prod-discovery.edx-cdn.org/media/course/image/e7b4c20b-3ea8-4698-ad18-674e6c5fba79-266af4c83534.jpg,['Introductory'],['2–4 hours per week'],['4 Weeks'],['English'],['English'],['$49 USD'],['Rice University'],['https://www.edx.org/school/ricex'],not-mentioned
296,Sustainable Energy:Design a RenewableFuture…,https://www.edx.org/course/sustainable-energy-design-a-renewable-future,https://prod-discovery.edx-cdn.org/media/course/image/42a7217b-4b31-4db6-95b1-9c318a13cadd-0a88430faf2b.jpg,['Intermediate'],['6–8 hours per week'],['9 Weeks'],['English'],['English'],['$50 USD'],['Delft University of Technology'],['https://www.edx.org/school/delftx'],not-mentioned
297,Introduction toEngineering Mathematicswith Applications…,https://www.edx.org/course/introduction-to-engineering-mathematics-with-appli,https://prod-discovery.edx-cdn.org/media/course/image/de1699ee-67e6-499f-8903-aa6d233a6b06-e7de1a13237c.jpg,['Introductory'],['4–6 hours per week'],['8 Weeks'],['English'],['English'],['$49 USD'],['University of Texas at Arlington'],['https://www.edx.org/school/utarlingtonx'],not-mentioned
298,"Quantum Mechanics:Wavefunctions,Operators, and Expectat……",https://www.edx.org/course/quantum-mechanics-wavefunctions-operators-and-expe,https://prod-discovery.edx-cdn.org/media/course/image/71057ca7-87c8-4288-ba07-335722b5d45e-5c2f205305e4.jpg,['Advanced'],['12–14 hours per week'],['7 Weeks'],['English'],['English'],['$49 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
299,Street-Fighting Math…,https://www.edx.org/course/street-fighting-math,https://prod-discovery.edx-cdn.org/media/course/image/0c459955-0245-472c-8fe4-78063bcbb307-7abdfeb25da3.jpg,['Introductory'],['6–9 hours per week'],['4 Weeks'],['English'],"['English', 'English']",[],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
300,AP® Physics 1 - Part 1:Linear Motion…,https://www.edx.org/course/ap-physics-1-part-1-linear-motion,https://prod-discovery.edx-cdn.org/media/course/image/03181d1f-1f0d-4af5-a215-c500fc658bde-4404e8b0bb4e.jpg,['Introductory'],['3–5 hours per week'],['4 Weeks'],['English'],['English'],['$49 USD'],['Rice University'],['https://www.edx.org/school/ricex'],not-mentioned
301,Principle ofSemiconductor DevicesPart II: Field Effect Tran……,https://www.edx.org/course/principle-of-semiconductor-devices-part-ii-field-e,https://prod-discovery.edx-cdn.org/media/course/image/70a5c10a-38ee-4697-8b42-fec813a5e405-ccf1dcb4d8c1.jpg,['Intermediate'],['4–5 hours per week'],['7 Weeks'],['English'],"['English, 中文']",['$60 USD'],['The Hong Kong University of Science and Technology'],['https://www.edx.org/school/hkustx'],not-mentioned
302,Quantum Mechanics:Quantum physics in 1DPotentials…,https://www.edx.org/course/quantum-mechanics-quantum-physics-in-1d-potentials,https://prod-discovery.edx-cdn.org/media/course/image/011aa4d9-7c98-4a5c-a05e-0e2ae497f92e-64ed2ab959a9.jpg,['Advanced'],['12–14 hours per week'],['7 Weeks'],['English'],['English'],['$49 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
303,Math in Sports…,https://www.edx.org/course/math-in-sports,https://prod-discovery.edx-cdn.org/media/course/image/7d8fd668-1f79-4707-aecb-2306749dacca-ac074c299a8e.jpg,['Introductory'],['4–6 hours per week'],['4 Weeks'],['English'],['English'],['$50 USD'],['University of Notre Dame'],['https://www.edx.org/school/notredamex'],not-mentioned
304,Graphene Science andTechnology…,https://www.edx.org/course/graphene-science-and-technology,https://prod-discovery.edx-cdn.org/media/course/image/62b55ce8-681d-472d-9216-d6b40d960e5c-2023e49ae2c3.jpg,['Advanced'],['6–10 hours per week'],['8 Weeks'],['English'],['English'],['$49 USD'],['Chalmers University of Technology'],['https://www.edx.org/school/chalmersx'],not-mentioned
